path,status
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ000212ea-ac2e-4305-bf32-68b21e7c72cb_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ000abc30-cc06-411b-894a-9782d6292d30_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ000c8cf0-4423-4e48-95b4-5817a4272ee0_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ0011c709-e767-4a49-890e-d496a6dadbb7_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00171052-52ea-4c74-ba08-bccaf6d1101c_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00177ead-9cb3-44f7-a201-5def9e76b27c_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ001d9d54-b246-49df-93a8-3b5bdc4d8889_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00211687-5d78-4700-a168-0fa61b629550_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00233508-25cd-4ebd-ba08-a3ac0e2f586d_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00337db5-077c-460d-b623-174ca99660f7_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00343abe-a19c-4e6c-9bd2-2163d062936a_1,human
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ003ad708-31f5-4e67-81af-ed109a4019e3_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00416cc8-3f32-4540-851c-a22fa3d083ca_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ0043e0fc-9fa3-4666-8a09-55e31f2a6758_1,mannequin
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ0045882e-d32a-4c8a-b81c-bd186ce0d726_1,human
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ0047b2eb-5da1-47df-9973-e8b47e08ee3b_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ004cc1c7-af2c-4865-ab00-f9d10dd27add_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ004f63e4-7c95-4663-b441-471e193babe4_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ005c2a1b-6fe4-48af-b489-243489ce2180_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00644212-fbc0-43e8-a2c2-b55ac17fbd48_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ00661499-eaab-4f19-82cf-e83f5c0e9574_1,no_model
C:\Users\atsus\OneDrive\ﾃ｣ﾆ停堋ｹﾃ｣窶堋ｯﾃ｣ﾆ塚ﾃ｣ﾆ槌津｣ﾆ停能ﾃ｣窶堋ｸﾃ｣ﾆ陳ｧﾃ｣窶堋､ﾃ｣ﾆ陳ｪ竄ｬhighbura竄ｬhonmano.highbra.aa竄ｬ006ad8f4-b6bf-47e1-9561-ab5786bfba40_1,no_model
